"country","descrip_study","study_code","case_id","local_case_id","owner","education","interact_w_prof","gender_f1_m0","machin_s0_h1","assoc_inst","other_income","n_crops_tot","hive_use","commerce","access_credit","irrigation","fertil_yes1_no0","fertil_org1_ino0","family_tot_n","family_female_n","family_male_n","bee_importance","age","internet_access","certific","employee_tot_n","employee_male_n","employee_female_n","crops_area","property_ha","wild_veg_edge_incrop","wild_area_property","wild_area_ha","conserv_actions","activs_field0_admin1_both2","pestic_chem_appl_year","pestic_che0_org1"
"argentina","alto_valle","AV",1,"1",1,17,1,0,1,1,0,2,1,2,1,1,1,0,5,2,3,1,36,1,0,21,20,1,38,38,1,0,0,0,2,10,1
"argentina","alto_valle","AV",2,"2",1,12,1,0,1,1,0,3,0,0,1,1,1,0,4,2,2,1,36,1,1,4,4,0,9,10,1,0,0,0,2,16,1
"argentina","alto_valle","AV",3,"3",1,12,1,0,1,1,0,3,0,1,1,1,1,0,2,0,2,1,36,1,1,18,18,0,21,21,1,0,0,0,2,7,1
"argentina","alto_valle","AV",4,"4",1,7,0,0,1,0,1,2,1,1,0,1,1,1,0,0,0,1,47,1,1,0,0,0,3,12,1,1,4.5,1,2,10,1
"argentina","alto_valle","AV",5,"5",1,12,0,0,1,0,0,5,1,1,0,1,1,0,2,0,2,1,46,1,0,9,8,1,14,14,1,0,0,0,2,6,1
"argentina","alto_valle","AV",6,"6",1,12,0,0,1,0,1,3,0,0,0,1,1,0,1,1,0,1,61,1,0,2,2,0,3,7.38,1,1,4,0,2,20,1
"argentina","alto_valle","AV",7,"7",1,17,1,0,1,0,1,3,0,0,1,1,1,1,1,0,1,1,35,1,1,5,5,0,19,20,1,1,1,0,2,1,1
"argentina","alto_valle","AV",8,"8",1,7,0,1,1,1,0,2,1,1,0,1,1,0,0,0,0,0,62,1,0,5,5,0,9,10,1,1,1,0,2,2,1
"argentina","alto_valle","AV",9,"9",1,12,0,0,1,1,0,2,1,1,0,1,1,1,2,0,2,0,64,1,0,3,2,1,26,26,0,0,0,0,2,3,1
"argentina","alto_valle","AV",10,"10",1,12,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,48,1,0,4,4,0,10,11.83,0,0,0,0,2,6,1
"argentina","alto_valle","AV",11,"11",1,7,0,0,1,0,0,3,1,0,0,1,1,0,1,0,1,1,62,1,0,1,1,0,7.5,7.5,1,0,0,0,2,3,1
"argentina","alto_valle","AV",12,"12",1,7,0,0,1,0,0,3,0,0,1,1,1,0,1,0,1,1,72,1,0,5,5,0,8,10,0,0,0,1,2,5,1
